Degree, FPML-time, FPML-err, FPML-Quad-time, FPML-Quad-err, FPML-Comp-time, FPML-Comp-err
        10,        0.00E+00,       2.40E-14,       9.69E-04,       1.11E-16,       4.38E-04,       1.61E-16
        20,        6.25E-05,       6.18E-11,       3.22E-03,       2.22E-16,       1.28E-03,       2.42E-16
        30,        3.13E-05,       5.86E-09,       8.03E-03,       2.22E-16,       2.69E-03,       1.21E-16
        40,        3.13E-05,       2.15E-06,       1.59E-02,       2.22E-16,       7.22E-03,       4.46E-16
        50,        1.25E-04,       3.95E-04,       2.68E-02,       4.44E-16,       7.91E-03,       6.67E-16
        60,        4.38E-04,       6.53E-01,       4.26E-02,       2.22E-16,       1.66E-02,       9.03E-16
        70,        2.19E-04,       3.43E-01,       6.20E-02,       4.44E-16,       2.71E-02,       2.88E-16
        80,        5.94E-04,       3.82E+00,       8.16E-02,       6.72E-16,       3.96E-02,       1.55E-14
        90,        3.44E-04,       3.99E+00,       1.10E-01,       2.34E-16,       5.55E-02,       9.04E-16
       100,        6.88E-04,       3.98E-01,       1.39E-01,       2.22E-16,       7.94E-02,       1.51E-14
