Degree, FPML-time, FPML-err, FPML-Quad-time, FPML-Quad-err, FPML-Comp-time, FPML-Comp-err
        10,        0.00E+00,       1.10E-14,       9.38E-04,       5.58E-17,       1.56E-04,       5.58E-17
        20,        9.38E-05,       2.61E-11,       3.22E-03,       7.62E-17,       1.00E-03,       7.62E-17
        30,        6.25E-05,       3.41E-12,       6.94E-03,       1.27E-16,       2.00E-03,       1.27E-16
        40,        6.25E-05,       3.87E-10,       1.24E-02,       1.37E-16,       3.72E-03,       1.37E-16
        50,        1.25E-04,       9.87E-10,       1.91E-02,       1.35E-16,       5.41E-03,       1.35E-16
        60,        1.56E-04,       5.18E-07,       2.72E-02,       1.60E-16,       8.19E-03,       1.60E-16
        70,        3.13E-04,       1.44E-03,       3.86E-02,       1.99E-16,       1.10E-02,       1.99E-16
        80,        3.75E-04,       1.40E-06,       4.80E-02,       1.99E-16,       1.36E-02,       1.99E-16
        90,        5.63E-04,       3.58E-02,       6.15E-02,       1.93E-16,       1.80E-02,       1.93E-16
       100,        3.44E-04,       7.00E-04,       7.72E-02,       2.01E-16,       2.24E-02,       2.01E-16
       110,        7.50E-04,       5.76E-04,       9.39E-02,       2.69E-16,       2.73E-02,       2.69E-16
       120,        7.81E-04,       7.31E-02,       1.15E-01,       2.38E-16,       3.33E-02,       2.37E-16
       130,        1.13E-03,       1.21E-01,       1.39E-01,       2.83E-16,       3.89E-02,       2.82E-16
       140,        1.19E-03,       1.19E-01,       1.61E-01,       3.05E-16,       4.53E-02,       4.13E-16
       150,        1.28E-03,       1.49E-01,       1.89E-01,       2.79E-16,       5.34E-02,       6.34E-16
