Degree, FPML-time, FPML-err, FPML-Quad-time, FPML-Quad-err, FPML-Comp-time, FPML-Comp-err
        50,        1.88E-04,       6.60E-14,       1.78E-02,       6.97E-16,       5.31E-03,       6.97E-16
        60,        2.50E-04,       4.04E-14,       2.62E-02,       4.66E-16,       7.63E-03,       4.66E-16
        70,        1.88E-04,       1.45E-14,       3.34E-02,       1.00E-15,       9.41E-03,       1.00E-15
        80,        2.81E-04,       1.78E-13,       4.46E-02,       1.40E-15,       1.34E-02,       1.40E-15
        90,        3.75E-04,       1.80E-13,       5.40E-02,       9.37E-16,       1.67E-02,       9.37E-16
       100,        5.00E-04,       3.13E-13,       6.59E-02,       2.11E-15,       2.20E-02,       2.11E-15
       110,        5.63E-04,       3.94E-13,       8.13E-02,       1.66E-15,       2.56E-02,       1.66E-15
       120,        7.81E-04,       3.19E-13,       1.03E-01,       3.05E-15,       3.03E-02,       3.05E-15
       130,        8.75E-04,       4.06E-13,       1.15E-01,       1.08E-15,       3.63E-02,       1.08E-15
       140,        8.75E-04,       1.14E-12,       1.35E-01,       1.01E-15,       4.39E-02,       1.01E-15
       150,        8.44E-04,       9.93E-13,       1.44E-01,       1.69E-15,       5.31E-02,       1.69E-15
       160,        1.03E-03,       1.14E-12,       1.64E-01,       2.65E-15,       5.96E-02,       2.65E-15
       170,        1.16E-03,       1.26E-12,       1.84E-01,       1.33E-15,       7.30E-02,       1.33E-15
       180,        1.22E-03,       6.06E-13,       2.13E-01,       1.57E-15,       9.02E-02,       1.57E-15
       190,        1.56E-03,       9.02E-13,       2.34E-01,       1.64E-15,       8.59E-02,       1.64E-15
       200,        1.63E-03,       2.03E-12,       2.74E-01,       1.56E-15,       9.38E-02,       1.56E-15
       210,        1.94E-03,       2.08E-12,       2.95E-01,       2.69E-15,       1.00E-01,       2.69E-15
       220,        2.13E-03,       3.61E-12,       3.24E-01,       4.12E-15,       1.08E-01,       4.12E-15
       230,        2.34E-03,       4.08E-12,       3.50E-01,       2.46E-15,       1.22E-01,       2.46E-15
       240,        2.38E-03,       3.52E-12,       3.67E-01,       2.24E-15,       1.42E-01,       2.24E-15
       250,        2.63E-03,       3.33E-12,       3.97E-01,       4.53E-15,       1.67E-01,       4.53E-15
       260,        2.66E-03,       4.04E-12,       4.30E-01,       2.72E-15,       1.89E-01,       2.72E-15
       270,        3.09E-03,       2.47E-12,       4.75E-01,       2.31E-15,       2.05E-01,       2.31E-15
       280,        3.38E-03,       4.68E-12,       5.16E-01,       3.64E-15,       1.95E-01,       3.64E-15
       290,        3.66E-03,       5.58E-12,       5.63E-01,       4.30E-15,       2.04E-01,       4.30E-15
       300,        3.94E-03,       5.19E-12,       6.03E-01,       3.21E-15,       2.01E-01,       3.21E-15
       310,        4.19E-03,       5.50E-12,       6.38E-01,       2.19E-15,       2.15E-01,       2.19E-15
       320,        4.50E-03,       7.38E-12,       6.67E-01,       3.72E-15,       2.43E-01,       3.72E-15
       330,        4.31E-03,       8.34E-12,       6.95E-01,       4.12E-15,       2.65E-01,       4.12E-15
       340,        4.69E-03,       1.27E-11,       7.34E-01,       6.67E-15,       3.06E-01,       6.67E-15
       350,        4.94E-03,       8.65E-12,       7.76E-01,       5.51E-15,       3.48E-01,       5.51E-15
       360,        5.53E-03,       7.35E-12,       8.32E-01,       2.99E-15,       3.43E-01,       2.99E-15
       370,        5.97E-03,       1.09E-11,       9.18E-01,       2.45E-15,       3.49E-01,       2.45E-15
       380,        6.31E-03,       9.80E-12,       9.73E-01,       5.22E-15,       3.53E-01,       5.22E-15
       390,        6.56E-03,       1.39E-11,       1.02E+00,       7.12E-15,       3.58E-01,       7.12E-15
       400,        7.03E-03,       1.97E-11,       1.06E+00,       5.10E-15,       3.65E-01,       5.10E-15
       410,        7.06E-03,       1.69E-11,       1.09E+00,       6.22E-15,       3.99E-01,       6.22E-15
       420,        7.53E-03,       1.38E-11,       1.13E+00,       5.94E-15,       4.44E-01,       5.94E-15
       430,        7.59E-03,       1.95E-11,       1.18E+00,       8.44E-15,       4.97E-01,       8.44E-15
       440,        8.22E-03,       1.80E-11,       1.23E+00,       5.28E-15,       5.15E-01,       5.28E-15
       450,        8.78E-03,       1.78E-11,       1.33E+00,       7.31E-15,       5.12E-01,       7.31E-15
       460,        9.22E-03,       1.87E-11,       1.42E+00,       3.82E-15,       5.24E-01,       3.82E-15
       470,        9.91E-03,       1.81E-11,       1.50E+00,       8.69E-15,       5.42E-01,       8.69E-15
       480,        1.02E-02,       1.68E-11,       1.55E+00,       8.86E-15,       5.41E-01,       8.86E-15
       490,        1.04E-02,       2.11E-11,       1.59E+00,       5.33E-15,       5.59E-01,       5.33E-15
       500,        1.07E-02,       2.47E-11,       1.62E+00,       5.33E-15,       6.16E-01,       5.33E-15
       510,        1.10E-02,       3.26E-11,       1.66E+00,       2.67E-15,       6.55E-01,       2.67E-15
       520,        1.13E-02,       2.26E-11,       1.72E+00,       7.09E-15,       7.06E-01,       7.09E-15
       530,        1.24E-02,       2.63E-11,       1.78E+00,       3.32E-15,       6.86E-01,       3.32E-15
       540,        1.30E-02,       3.14E-11,       1.96E+00,       5.78E-15,       7.21E-01,       5.78E-15
       550,        1.33E-02,       2.92E-11,       2.02E+00,       7.53E-15,       7.74E-01,       7.53E-15
       560,        1.39E-02,       3.36E-11,       2.12E+00,       9.63E-15,       7.75E-01,       9.63E-15
       570,        1.43E-02,       3.99E-11,       2.18E+00,       2.99E-15,       7.72E-01,       2.99E-15
       580,        1.48E-02,       5.16E-11,       2.24E+00,       5.28E-15,       8.03E-01,       5.28E-15
       590,        1.50E-02,       5.41E-11,       2.26E+00,       5.29E-15,       8.57E-01,       5.29E-15
       600,        1.54E-02,       3.45E-11,       2.31E+00,       8.13E-15,       8.99E-01,       8.13E-15
