Degree, FPML-time, FPML-err, FPML-Quad-time, FPML-Quad-err, FPML-Comp-time, FPML-Comp-err
        50,       2.19E-04,       3.15E-14,       1.55E-02,       1.45E-15,       6.16E-03,       2.01E-15
        60,       2.19E-04,       3.95E-14,       2.26E-02,       1.62E-15,       9.22E-03,       2.67E-15
        70,       1.88E-04,       6.25E-14,       2.97E-02,       1.94E-15,       1.19E-02,       2.95E-15
        80,       2.50E-04,       7.38E-14,       3.67E-02,       2.23E-15,       1.57E-02,       3.33E-15
        90,       2.50E-04,       1.03E-13,       4.57E-02,       2.47E-15,       1.83E-02,       3.88E-15
       100,       4.06E-04,       1.21E-13,       5.55E-02,       2.86E-15,       2.23E-02,       4.39E-15
       110,       5.31E-04,       1.23E-13,       6.82E-02,       3.09E-15,       2.78E-02,       4.77E-15
       120,       4.06E-04,       1.36E-13,       7.73E-02,       3.50E-15,       3.27E-02,       5.40E-15
       130,       5.00E-04,       1.68E-13,       9.33E-02,       3.56E-15,       3.71E-02,       5.58E-15
       140,       6.88E-04,       1.55E-13,       1.08E-01,       4.03E-15,       4.20E-02,       6.14E-15
       150,       9.06E-04,       1.93E-13,       1.19E-01,       4.36E-15,       5.01E-02,       6.78E-15
       160,       9.38E-04,       2.19E-13,       1.37E-01,       4.55E-15,       5.85E-02,       7.05E-15
       170,       1.06E-03,       2.67E-13,       1.57E-01,       4.76E-15,       6.38E-02,       7.44E-15
       180,       1.19E-03,       2.40E-13,       1.76E-01,       5.12E-15,       7.00E-02,       7.91E-15
       190,       1.22E-03,       3.28E-13,       1.93E-01,       5.29E-15,       8.12E-02,       8.49E-15
       200,       1.44E-03,       3.50E-13,       2.13E-01,       5.84E-15,       8.75E-02,       9.32E-15
       210,       1.72E-03,       4.04E-13,       2.35E-01,       6.07E-15,       9.64E-02,       9.40E-15
       220,       1.66E-03,       3.92E-13,       2.56E-01,       6.50E-15,       1.06E-01,       9.81E-15
       230,       1.88E-03,       4.46E-13,       2.79E-01,       6.45E-15,       1.16E-01,       1.04E-14
       240,       1.97E-03,       4.94E-13,       3.05E-01,       7.12E-15,       1.27E-01,       1.14E-14
       250,       2.22E-03,       4.33E-13,       3.31E-01,       7.03E-15,       1.37E-01,       1.12E-14
       260,       2.41E-03,       5.47E-13,       3.60E-01,       7.68E-15,       1.49E-01,       1.21E-14
