Degree, FPML-err, FPML-Quad-err, FPML-Comp-err
         5,        1.89E-16,       1.89E-16,       1.89E-16
         6,        6.43E-16,       4.29E-16,       4.29E-16
         7,        4.26E-16,       4.26E-16,       4.26E-16
         8,        6.97E-14,       4.27E-16,       4.27E-16
         9,        3.10E-14,       6.49E-16,       6.49E-16
        10,        1.77E-15,       1.77E-15,       1.77E-15
        11,        3.25E-15,       6.16E-16,       6.16E-16
        12,        2.64E-14,       8.51E-16,       8.51E-16
        13,        1.99E-12,       1.16E-15,       1.16E-15
        14,        7.24E-12,       2.48E-15,       2.48E-15
        15,        2.97E-12,       5.34E-16,       5.34E-16
        16,        1.54E-13,       1.70E-15,       1.70E-15
        17,        3.75E-11,       1.06E-15,       1.06E-15
        18,        6.11E-11,       1.91E-15,       1.91E-15
        19,        9.72E-11,       8.55E-16,       8.55E-16
        20,        1.60E-09,       7.08E-16,       7.08E-16
        21,        2.70E-10,       1.30E-15,       1.30E-15
        22,        3.14E-10,       1.36E-15,       1.36E-15
        23,        2.19E-08,       8.15E-16,       8.15E-16
        24,        1.72E-09,       3.18E-15,       3.18E-15
        25,        4.42E-09,       1.77E-15,       1.77E-15
        26,        5.14E-08,       1.95E-15,       1.95E-15
        27,        7.76E-08,       5.98E-16,       5.98E-16
        28,        1.31E-06,       1.11E-15,       1.11E-15
        29,        4.04E-06,       8.98E-16,       8.98E-16
        30,        1.52E-06,       4.11E-15,       4.11E-15
        31,        1.35E-05,       8.23E-16,       8.23E-16
        32,        4.28E-05,       2.40E-15,       2.40E-15
        33,        1.51E-05,       1.90E-15,       1.90E-15
        34,        1.16E-04,       4.21E-15,       4.21E-15
        35,        6.94E-04,       1.04E-15,       1.04E-15
        36,        1.04E-03,       2.55E-15,       2.55E-15
        37,        4.51E-03,       9.82E-16,       9.82E-16
        38,        7.75E-03,       4.20E-15,       4.20E-15
        39,        1.40E-02,       2.41E-15,       2.41E-15
        40,        2.40E-02,       7.25E-15,       7.25E-15
        41,        3.68E-02,       1.45E-15,       1.45E-15
        42,        3.14E-02,       5.75E-15,       5.75E-15
        43,        4.49E-02,       2.47E-15,       2.47E-15
        44,        4.82E-02,       2.33E-15,       2.33E-15
        45,        1.46E-01,       2.19E-15,       2.19E-15
        46,        8.54E-02,       2.17E-15,       2.17E-15
        47,        8.14E-02,       3.74E-15,       3.74E-15
        48,        2.07E+00,       3.18E-15,       3.18E-15
        49,        9.09E-02,       1.52E-15,       8.67E-15
        50,        1.52E-01,       3.31E-15,       6.96E-15
        51,        1.09E-01,       1.80E-15,       3.62E-14
        52,        1.01E-01,       4.82E-15,       8.61E-14
        53,        1.78E-01,       1.87E-15,       1.81E-13
        54,        1.42E-01,       1.91E-15,       9.01E-13
        55,        1.71E-01,       2.00E-14,       3.17E-12
        56,        2.09E-01,       3.77E-15,       1.14E-13
        57,        2.26E-01,       1.08E-13,       9.14E-12
        58,        2.11E+00,       6.79E-15,       1.23E-12
        59,        2.11E-01,       4.03E-13,       2.26E-11
        60,        1.79E-01,       7.29E-13,       5.84E-11
        61,        2.14E-01,       7.95E-14,       1.25E-11
        62,        2.50E-01,       8.52E-13,       7.13E-10
        63,        2.08E-01,       1.87E-12,       2.56E-11
        64,        2.54E-01,       2.83E-11,       9.18E-10
        65,        3.97E-01,       6.40E-11,       1.72E-08
        66,        2.14E+00,       4.51E-12,       8.60E-09
        67,        4.90E-01,       1.11E-10,       1.28E-07
        68,        5.99E-01,       6.87E-10,       1.76E-07
        69,        2.78E-01,       2.66E-09,       2.57E-07
        70,        2.18E+00,       8.03E-09,       2.43E-06
        71,        3.13E-01,       2.44E-09,       4.34E-06
        72,        3.68E-01,       1.02E-08,       1.00E-05
        73,        2.91E-01,       5.57E-08,       1.99E-05
        74,        3.44E-01,       2.75E-07,       5.75E-05
        75,        3.47E-01,       4.05E-07,       2.13E-04
        76,        3.82E-01,       1.10E-07,       2.66E-04
        77,        3.22E-01,       2.66E-06,       6.31E-02
        78,        3.81E-01,       1.26E-05,       2.17E-03
        79,        2.16E+00,       3.63E-05,       2.09E+00
        80,        3.30E-01,       4.31E-05,       9.60E-02
