Degree, FPML-err, FPML-Quad-err, FPML-Comp-err
         5,        4.44E-15,       1.11E-16,       1.11E-16
         6,        1.55E-13,       1.11E-16,       1.11E-16
         7,        9.35E-14,       1.11E-16,       1.11E-16
         8,        1.28E-10,       1.11E-16,       1.11E-16
         9,        5.99E-11,       1.11E-16,       1.11E-16
        10,        3.27E-10,       1.11E-16,       1.11E-16
        11,        5.70E-10,       1.11E-16,       1.23E-16
        12,        5.67E-07,       1.11E-16,       1.23E-16
        13,        5.28E-07,       1.11E-16,       1.23E-16
        14,        1.44E-03,       5.17E-05,       5.17E-05
        15,        1.93E-03,       9.29E-06,       9.29E-06
        16,        2.46E-02,       4.07E-03,       4.07E-03
        17,        1.47E-02,       3.91E-03,       3.91E-03
        18,        3.21E-02,       1.20E-02,       1.20E-02
        19,        3.90E-02,       1.74E-02,       1.74E-02
        20,        6.31E-02,       2.82E-02,       2.82E-02
