Degree, FPML-err, FPML-Quad-err, FPML-Comp-err
         5,        1.08E-14,       1.11E-16,       1.11E-16
         6,        4.82E-13,       1.11E-16,       1.11E-16
         7,        3.88E-13,       1.11E-16,       1.11E-16
         8,        6.04E-13,       1.11E-16,       1.11E-16
         9,        1.87E-11,       1.11E-16,       1.11E-16
        10,        3.22E-10,       1.11E-16,       1.11E-16
        11,        5.01E-08,       1.11E-16,       1.11E-16
        12,        8.72E-08,       1.11E-16,       1.11E-16
        13,        8.79E-09,       1.11E-16,       1.11E-16
        14,        3.37E-06,       1.11E-16,       1.11E-16
        15,        3.30E-05,       1.11E-16,       1.11E-16
        16,        2.29E-04,       1.11E-16,       1.18E-16
        17,        7.85E-04,       1.11E-16,       1.11E-16
        18,        6.15E-03,       1.11E-16,       1.27E-16
        19,        8.61E-02,       1.37E-06,       1.37E-06
        20,        2.29E-01,       4.76E-05,       4.76E-05
        21,        1.70E-01,       8.88E-04,       8.88E-04
        22,        2.10E-01,       1.71E-02,       1.71E-02
        23,        2.26E-01,       5.45E-02,       5.45E-02
        24,        2.51E-01,       7.57E-02,       7.57E-02
        25,        3.11E-01,       1.38E-01,       1.38E-01
