Degree, FPML-err, FPML-Quad-err, FPML-Comp-err
         5,        1.18E-14,       1.11E-16,       1.11E-16
         6,        4.82E-13,       1.11E-16,       1.11E-16
         7,        3.40E-13,       1.11E-16,       1.11E-16
         8,        1.87E-12,       1.11E-16,       1.27E-16
         9,        2.78E-12,       1.11E-16,       1.11E-16
        10,        3.04E-10,       1.11E-16,       1.27E-16
        11,        4.98E-08,       1.11E-16,       1.11E-16
        12,        8.82E-08,       1.11E-16,       1.11E-16
        13,        7.89E-09,       1.11E-16,       1.11E-16
        14,        3.43E-06,       1.11E-16,       1.27E-16
        15,        3.30E-05,       1.11E-16,       1.37E-16
        16,        2.30E-04,       1.11E-16,       1.27E-16
        17,        7.72E-04,       1.11E-16,       1.27E-16
        18,        6.07E-03,       1.11E-16,       1.11E-16
        19,        8.53E-02,       1.37E-06,       1.37E-06
        20,        8.71E-02,       4.76E-05,       4.76E-05
