cond, stan_err_bound, stan_err, comp_err_bound, comp_err
       3.44E+02,       1.51E-12,       2.63E-15,       1.11E-16,       1.11E-16
       2.41E+03,       1.36E-11,       1.34E-14,       1.11E-16,       1.11E-16
       1.69E+04,       1.17E-10,       6.38E-14,       1.11E-16,       1.11E-16
       1.18E+05,       9.65E-10,       1.41E-12,       1.11E-16,       1.11E-16
       8.29E+05,       7.80E-09,       1.13E-11,       1.11E-16,       1.11E-16
       5.80E+06,       6.20E-08,       3.50E-11,       1.11E-16,       1.11E-16
       4.07E+07,       4.85E-07,       3.82E-10,       1.11E-16,       1.11E-16
       2.85E+08,       3.76E-06,       4.52E-09,       1.11E-16,       1.11E-16
       2.00E+09,       2.88E-05,       1.79E-08,       1.11E-16,       1.11E-16
       1.40E+10,       2.20E-04,       6.14E-09,       1.14E-16,       1.11E-16
       9.80E+10,       1.66E-03,       8.68E-07,       1.39E-16,       1.11E-16
       6.86E+11,       1.25E-02,       5.22E-06,       3.39E-16,       1.11E-16
       4.81E+12,       9.36E-02,       3.31E-05,       1.93E-15,       1.11E-16
       3.37E+13,       6.98E-01,       4.43E-04,       1.46E-14,       1.45E-16
       2.36E+14,       1.00E+00,       1.57E-03,       1.14E-13,       1.11E-16
       1.65E+15,       1.00E+00,       9.11E-03,       8.93E-13,       1.11E-16
       1.16E+16,       1.00E+00,       1.04E-01,       6.95E-12,       1.11E-16
       8.12E+16,       1.00E+00,       3.35E-01,       5.38E-11,       1.11E-16
       5.69E+17,       1.00E+00,       1.00E+00,       4.15E-10,       5.52E-16
       3.98E+18,       1.00E+00,       1.00E+00,       3.18E-09,       6.84E-15
       2.79E+19,       1.00E+00,       1.00E+00,       2.43E-08,       8.28E-14
       1.96E+20,       1.00E+00,       1.00E+00,       1.85E-07,       1.84E-13
       1.37E+21,       1.00E+00,       1.00E+00,       1.41E-06,       7.35E-13
       9.60E+21,       1.00E+00,       1.00E+00,       1.06E-05,       2.96E-12
       6.73E+22,       1.00E+00,       1.00E+00,       8.02E-05,       1.89E-11
       4.71E+23,       1.00E+00,       1.00E+00,       6.04E-04,       9.26E-10
       3.30E+24,       1.00E+00,       1.00E+00,       4.53E-03,       3.43E-09
       2.31E+25,       1.00E+00,       1.00E+00,       3.39E-02,       1.01E-08
       1.62E+26,       1.00E+00,       1.00E+00,       2.54E-01,       3.64E-07
       1.14E+27,       1.00E+00,       1.00E+00,       1.00E+00,       5.66E-07
       7.95E+27,       1.00E+00,       1.00E+00,       1.00E+00,       2.89E-05
       5.57E+28,       1.00E+00,       1.00E+00,       1.00E+00,       5.33E-05
       3.90E+29,       1.00E+00,       1.00E+00,       1.00E+00,       1.44E-03
       2.73E+30,       1.00E+00,       1.00E+00,       1.00E+00,       4.40E-04
       1.92E+31,       1.00E+00,       1.00E+00,       1.00E+00,       6.39E-02
       1.34E+32,       1.00E+00,       1.00E+00,       1.00E+00,       2.17E-01
       9.40E+32,       1.00E+00,       1.00E+00,       1.00E+00,       1.00E+00
       6.59E+33,       1.00E+00,       1.00E+00,       1.00E+00,       1.00E+00
       4.62E+34,       1.00E+00,       1.00E+00,       1.00E+00,       1.00E+00
       3.23E+35,       1.00E+00,       1.00E+00,       1.00E+00,       1.00E+00
