cond, stan_err_bound, stan_err, comp_err_bound, comp_err
       3.44E+02,       2.29E-13,       5.64E-16,       1.11E-16,       1.11E-16
       2.41E+03,       2.14E-12,       1.44E-14,       1.11E-16,       1.11E-16
       1.69E+04,       1.87E-11,       2.98E-13,       1.11E-16,       1.11E-16
       1.18E+05,       1.58E-10,       1.88E-12,       1.11E-16,       1.11E-16
       8.29E+05,       1.29E-09,       6.80E-12,       1.11E-16,       1.11E-16
       5.80E+06,       1.03E-08,       1.99E-10,       1.11E-16,       1.11E-16
       4.07E+07,       8.13E-08,       4.49E-10,       1.11E-16,       1.11E-16
       2.85E+08,       6.33E-07,       1.42E-10,       1.11E-16,       1.11E-16
       2.00E+09,       4.88E-06,       3.62E-08,       1.11E-16,       1.52E-16
       1.40E+10,       3.73E-05,       2.85E-07,       1.11E-16,       1.11E-16
       9.80E+10,       2.83E-04,       1.17E-06,       1.12E-16,       1.11E-16
       6.86E+11,       2.13E-03,       8.95E-06,       1.18E-16,       1.11E-16
       4.81E+12,       1.60E-02,       6.05E-05,       1.64E-16,       1.11E-16
       3.37E+13,       1.20E-01,       5.72E-05,       5.36E-16,       1.11E-16
       2.36E+14,       8.91E-01,       3.27E-03,       3.47E-15,       1.11E-16
       1.65E+15,       1.00E+00,       8.25E-03,       2.65E-14,       1.11E-16
       1.16E+16,       1.00E+00,       1.20E-02,       2.06E-13,       1.11E-16
       8.12E+16,       1.00E+00,       1.00E+00,       1.60E-12,       3.68E-16
       5.69E+17,       1.00E+00,       1.00E+00,       1.24E-11,       2.76E-15
       3.98E+18,       1.00E+00,       1.00E+00,       9.51E-11,       8.29E-16
       2.79E+19,       1.00E+00,       1.00E+00,       7.28E-10,       1.43E-14
       1.96E+20,       1.00E+00,       1.00E+00,       5.55E-09,       6.11E-13
       1.37E+21,       1.00E+00,       1.00E+00,       4.22E-08,       2.03E-12
       9.60E+21,       1.00E+00,       1.00E+00,       3.20E-07,       1.33E-11
       6.73E+22,       1.00E+00,       1.00E+00,       2.42E-06,       1.26E-11
       4.71E+23,       1.00E+00,       1.00E+00,       1.82E-05,       9.71E-10
       3.30E+24,       1.00E+00,       1.00E+00,       1.37E-04,       1.57E-09
       2.31E+25,       1.00E+00,       1.00E+00,       1.03E-03,       3.64E-08
       1.62E+26,       1.00E+00,       1.00E+00,       7.68E-03,       6.11E-07
       1.14E+27,       1.00E+00,       1.00E+00,       5.73E-02,       2.98E-07
       7.95E+27,       1.00E+00,       1.00E+00,       4.27E-01,       1.07E-05
       5.57E+28,       1.00E+00,       1.00E+00,       1.00E+00,       1.06E-04
       3.90E+29,       1.00E+00,       1.00E+00,       1.00E+00,       4.12E-05
       2.73E+30,       1.00E+00,       1.00E+00,       1.00E+00,       1.31E-02
       1.92E+31,       1.00E+00,       1.00E+00,       1.00E+00,       6.39E-02
       1.34E+32,       1.00E+00,       1.00E+00,       1.00E+00,       3.69E-01
       9.40E+32,       1.00E+00,       1.00E+00,       1.00E+00,       8.63E-02
       6.59E+33,       1.00E+00,       1.00E+00,       1.00E+00,       1.00E+00
       4.62E+34,       1.00E+00,       1.00E+00,       1.00E+00,       1.00E+00
       3.23E+35,       1.00E+00,       1.00E+00,       1.00E+00,       1.00E+00
