x, a priori error bound, running error bound, forward error
    9.90000E-01,     1.28651E-26,     1.11546E-26,     1.00629E-27
    9.90010E-01,     1.28097E-26,     1.10916E-26,     8.63557E-28
    9.90020E-01,     1.27545E-26,     1.10336E-26,     2.49119E-28
    9.90030E-01,     1.26996E-26,     1.09704E-26,     6.07695E-27
    9.90040E-01,     1.26449E-26,     1.09228E-26,     2.96436E-27
    9.90050E-01,     1.25904E-26,     1.08792E-26,     1.09129E-27
    9.90060E-01,     1.25361E-26,     1.08033E-26,     1.90930E-27
    9.90070E-01,     1.24821E-26,     1.07636E-26,     5.99968E-27
    9.90080E-01,     1.24282E-26,     1.07039E-26,     2.08539E-27
    9.90090E-01,     1.23746E-26,     1.06418E-26,     4.90823E-27
    9.90100E-01,     1.23212E-26,     1.06111E-26,     4.53366E-27
    9.90110E-01,     1.22680E-26,     1.05395E-26,     5.60600E-27
    9.90120E-01,     1.22150E-26,     1.04940E-26,     4.18182E-27
    9.90130E-01,     1.21622E-26,     1.04480E-26,     4.45384E-27
    9.90140E-01,     1.21097E-26,     1.03954E-26,     3.28898E-28
    9.90150E-01,     1.20573E-26,     1.03493E-26,     2.80115E-27
    9.90160E-01,     1.20052E-26,     1.03094E-26,     4.91888E-27
    9.90170E-01,     1.19533E-26,     1.02336E-26,     2.64087E-28
    9.90180E-01,     1.19016E-26,     1.01675E-26,     3.56885E-27
    9.90190E-01,     1.18501E-26,     1.01147E-26,     2.24064E-27
    9.90200E-01,     1.17988E-26,     1.00846E-26,     3.41286E-28
    9.90210E-01,     1.17477E-26,     1.00441E-26,     4.46402E-27
    9.90220E-01,     1.16969E-26,     9.97432E-27,     5.41942E-27
    9.90230E-01,     1.16462E-26,     9.94400E-27,     6.43182E-27
    9.90240E-01,     1.15958E-26,     9.86203E-27,     1.35001E-27
    9.90250E-01,     1.15455E-26,     9.82844E-27,     1.28984E-28
    9.90260E-01,     1.14955E-26,     9.77479E-27,     4.16841E-28
    9.90270E-01,     1.14456E-26,     9.74014E-27,     3.12725E-27
    9.90280E-01,     1.13960E-26,     9.68890E-27,     1.38340E-27
    9.90290E-01,     1.13466E-26,     9.62868E-27,     1.21165E-27
    9.90300E-01,     1.12974E-26,     9.57005E-27,     5.74169E-27
    9.90310E-01,     1.12483E-26,     9.52976E-27,     5.59541E-27
    9.90320E-01,     1.11995E-26,     9.47131E-27,     6.36206E-27
    9.90330E-01,     1.11509E-26,     9.42608E-27,     4.21592E-27
    9.90340E-01,     1.11025E-26,     9.38825E-27,     3.78849E-27
    9.90350E-01,     1.10543E-26,     9.33525E-27,     3.34469E-27
    9.90360E-01,     1.10063E-26,     9.27423E-27,     6.19478E-28
    9.90370E-01,     1.09584E-26,     9.24670E-27,     4.77368E-28
    9.90380E-01,     1.09108E-26,     9.17877E-27,     5.94506E-27
    9.90390E-01,     1.08634E-26,     9.13872E-27,     4.16092E-27
    9.90400E-01,     1.08162E-26,     9.08831E-27,     2.15070E-27
    9.90410E-01,     1.07691E-26,     9.04416E-27,     1.36828E-27
    9.90420E-01,     1.07223E-26,     9.00555E-27,     3.02647E-27
