x, a priori error bound, running error bound, forward error
    9.90000E-01,     1.11407E-26,     1.11048E-26,     1.00629E-27
    9.90010E-01,     1.10853E-26,     1.10497E-26,     8.63556E-28
    9.90020E-01,     1.10301E-26,     1.09950E-26,     2.49119E-28
    9.90030E-01,     1.09752E-26,     1.09396E-26,     6.07695E-27
    9.90040E-01,     1.09204E-26,     1.08854E-26,     2.96436E-27
    9.90050E-01,     1.08659E-26,     1.08303E-26,     1.09129E-27
    9.90060E-01,     1.08116E-26,     1.07754E-26,     1.90930E-27
    9.90070E-01,     1.07575E-26,     1.07226E-26,     5.99968E-27
    9.90080E-01,     1.07037E-26,     1.06675E-26,     2.08539E-27
    9.90090E-01,     1.06500E-26,     1.06139E-26,     4.90823E-27
    9.90100E-01,     1.05966E-26,     1.05614E-26,     4.53366E-27
    9.90110E-01,     1.05434E-26,     1.05068E-26,     5.60600E-27
    9.90120E-01,     1.04904E-26,     1.04547E-26,     4.18182E-27
    9.90130E-01,     1.04376E-26,     1.04016E-26,     4.45384E-27
    9.90140E-01,     1.03850E-26,     1.03492E-26,     3.28898E-28
    9.90150E-01,     1.03327E-26,     1.02960E-26,     2.80115E-27
    9.90160E-01,     1.02805E-26,     1.02437E-26,     4.91888E-27
    9.90170E-01,     1.02286E-26,     1.01919E-26,     2.64087E-28
    9.90180E-01,     1.01768E-26,     1.01418E-26,     3.56885E-27
    9.90190E-01,     1.01253E-26,     1.00894E-26,     2.24064E-27
    9.90200E-01,     1.00740E-26,     1.00370E-26,     3.41286E-28
    9.90210E-01,     1.00229E-26,     9.98575E-27,     4.46402E-27
    9.90220E-01,     9.97204E-27,     9.93528E-27,     5.41942E-27
    9.90230E-01,     9.92136E-27,     9.88556E-27,     6.43182E-27
    9.90240E-01,     9.87089E-27,     9.83351E-27,     1.35001E-27
    9.90250E-01,     9.82062E-27,     9.78341E-27,     1.28983E-28
    9.90260E-01,     9.77056E-27,     9.73565E-27,     4.16841E-28
    9.90270E-01,     9.72070E-27,     9.68309E-27,     3.12725E-27
    9.90280E-01,     9.67105E-27,     9.63508E-27,     1.38340E-27
    9.90290E-01,     9.62160E-27,     9.58672E-27,     1.21165E-27
    9.90300E-01,     9.57236E-27,     9.53517E-27,     5.74169E-27
    9.90310E-01,     9.52332E-27,     9.48758E-27,     5.59541E-27
    9.90320E-01,     9.47448E-27,     9.43719E-27,     6.36206E-27
    9.90330E-01,     9.42584E-27,     9.38928E-27,     4.21592E-27
    9.90340E-01,     9.37740E-27,     9.34082E-27,     3.78849E-27
    9.90350E-01,     9.32917E-27,     9.29322E-27,     3.34469E-27
    9.90360E-01,     9.28113E-27,     9.24404E-27,     6.19478E-28
    9.90370E-01,     9.23329E-27,     9.19724E-27,     4.77368E-28
    9.90380E-01,     9.18565E-27,     9.14773E-27,     5.94506E-27
    9.90390E-01,     9.13821E-27,     9.10294E-27,     4.16092E-27
    9.90400E-01,     9.09096E-27,     9.05554E-27,     2.15070E-27
    9.90410E-01,     9.04391E-27,     9.00687E-27,     1.36828E-27
    9.90420E-01,     8.99706E-27,     8.96177E-27,     3.02647E-27
    9.90430E-01,     8.95040E-27,     8.91415E-27,     3.73201E-27
    9.90440E-01,     8.90394E-27,     8.86676E-27,     1.01305E-27
    9.90450E-01,     8.85767E-27,     8.82265E-27,     1.12072E-27
    9.90460E-01,     8.81159E-27,     8.77557E-27,     2.51316E-27
    9.90470E-01,     8.76571E-27,     8.72917E-27,     3.61687E-27
    9.90480E-01,     8.72002E-27,     8.68276E-27,     4.49001E-27
    9.90490E-01,     8.67452E-27,     8.63897E-27,     3.74915E-27
    9.90500E-01,     8.62921E-27,     8.59435E-27,     5.50501E-27
    9.90510E-01,     8.58409E-27,     8.54694E-27,     6.36220E-27
    9.90520E-01,     8.53916E-27,     8.50232E-27,     7.69225E-28
    9.90530E-01,     8.49442E-27,     8.45787E-27,     6.04639E-27
    9.90540E-01,     8.44987E-27,     8.41298E-27,     5.93000E-27
    9.90550E-01,     8.40551E-27,     8.37013E-27,     2.46577E-27
    9.90560E-01,     8.36134E-27,     8.32573E-27,     1.68172E-27
    9.90570E-01,     8.31735E-27,     8.28102E-27,     3.74321E-28
    9.90580E-01,     8.27354E-27,     8.23819E-27,     5.54882E-27
    9.90590E-01,     8.22993E-27,     8.19351E-27,     3.94122E-27
    9.90600E-01,     8.18650E-27,     8.15102E-27,     5.22013E-27
    9.90610E-01,     8.14325E-27,     8.10826E-27,     1.84849E-27
    9.90620E-01,     8.10019E-27,     8.06446E-27,     9.56685E-28
    9.90630E-01,     8.05731E-27,     8.02177E-27,     5.16983E-27
    9.90640E-01,     8.01461E-27,     7.97829E-27,     6.53273E-28
    9.90650E-01,     7.97209E-27,     7.93582E-27,     1.11804E-27
    9.90660E-01,     7.92976E-27,     7.89420E-27,     5.05070E-27
    9.90670E-01,     7.88761E-27,     7.85134E-27,     8.72429E-28
    9.90680E-01,     7.84563E-27,     7.80946E-27,     1.12904E-27
    9.90690E-01,     7.80384E-27,     7.76651E-27,     6.91221E-28
    9.90700E-01,     7.76223E-27,     7.72460E-27,     4.02462E-27
    9.90710E-01,     7.72079E-27,     7.68564E-27,     1.61121E-27
    9.90720E-01,     7.67953E-27,     7.64378E-27,     3.14190E-27
    9.90730E-01,     7.63846E-27,     7.60291E-27,     3.17069E-27
    9.90740E-01,     7.59755E-27,     7.56134E-27,     4.68485E-27
    9.90750E-01,     7.55683E-27,     7.51981E-27,     4.10959E-27
    9.90760E-01,     7.51628E-27,     7.48018E-27,     4.63676E-28
    9.90770E-01,     7.47590E-27,     7.43900E-27,     3.24469E-27
    9.90780E-01,     7.43570E-27,     7.39869E-27,     4.11512E-27
    9.90790E-01,     7.39567E-27,     7.36048E-27,     3.01773E-27
    9.90800E-01,     7.35582E-27,     7.31909E-27,     6.19502E-27
    9.90810E-01,     7.31614E-27,     7.27917E-27,     3.72951E-27
    9.90820E-01,     7.27663E-27,     7.24048E-27,     3.52543E-27
    9.90830E-01,     7.23729E-27,     7.19958E-27,     4.92479E-27
    9.90840E-01,     7.19813E-27,     7.16272E-27,     3.07768E-27
    9.90850E-01,     7.15913E-27,     7.12280E-27,     3.47948E-27
    9.90860E-01,     7.12031E-27,     7.08298E-27,     5.78038E-27
    9.90870E-01,     7.08166E-27,     7.04596E-27,     3.23466E-27
    9.90880E-01,     7.04317E-27,     7.00673E-27,     3.41572E-27
    9.90890E-01,     7.00485E-27,     6.96883E-27,     6.21536E-27
    9.90900E-01,     6.96670E-27,     6.93156E-27,     2.96106E-27
    9.90910E-01,     6.92872E-27,     6.89133E-27,     4.84257E-28
    9.90920E-01,     6.89090E-27,     6.85568E-27,     3.36760E-27
    9.90930E-01,     6.85326E-27,     6.81581E-27,     5.41407E-28
    9.90940E-01,     6.81577E-27,     6.77976E-27,     1.93786E-27
    9.90950E-01,     6.77845E-27,     6.74270E-27,     8.38384E-28
    9.90960E-01,     6.74130E-27,     6.70379E-27,     6.15812E-27
    9.90970E-01,     6.70431E-27,     6.66836E-27,     8.33058E-28
    9.90980E-01,     6.66748E-27,     6.63122E-27,     5.52221E-27
    9.90990E-01,     6.63082E-27,     6.59390E-27,     2.26042E-27
    9.91000E-01,     6.59432E-27,     6.55854E-27,     4.50299E-28
    9.91010E-01,     6.55798E-27,     6.52273E-27,     5.12779E-27
