cond, stan_err_bound, stan_err, comp_err_bound, comp_err
       2.00E+00,       3.77E-15,       1.11E-16,       1.11E-16,       1.11E-16
       2.83E+04,       8.88E-11,       6.69E-13,       1.11E-16,       1.11E-16
       1.15E+06,       5.05E-09,       3.37E-11,       1.11E-16,       1.75E-16
       1.14E+07,       6.43E-08,       5.39E-11,       1.11E-16,       1.11E-16
       6.55E+07,       4.53E-07,       1.33E-09,       1.11E-16,       1.11E-16
       2.93E+08,       2.40E-06,       6.41E-09,       1.11E-16,       1.11E-16
       1.15E+09,       1.09E-05,       8.71E-09,       1.11E-16,       1.69E-16
       4.22E+09,       4.50E-05,       8.32E-08,       1.12E-16,       1.11E-16
       1.48E+10,       1.77E-04,       2.39E-08,       1.13E-16,       1.11E-16
       5.08E+10,       6.69E-04,       1.12E-06,       1.20E-16,       1.62E-16
       1.72E+11,       2.48E-03,       1.69E-06,       1.47E-16,       1.11E-16
       5.78E+11,       9.08E-03,       1.44E-05,       2.54E-16,       1.41E-16
       1.94E+12,       3.29E-02,       3.26E-05,       6.69E-16,       1.39E-16
       6.50E+12,       1.18E-01,       1.05E-04,       2.27E-15,       1.11E-16
       2.18E+13,       4.25E-01,       3.98E-04,       8.38E-15,       1.11E-16
       7.34E+13,       1.00E+00,       1.18E-03,       3.16E-14,       1.11E-16
       2.47E+14,       1.00E+00,       3.89E-03,       1.20E-13,       1.11E-16
       8.36E+14,       1.00E+00,       1.53E-01,       4.51E-13,       1.11E-16
       2.83E+15,       1.00E+00,       2.22E-01,       1.70E-12,       1.30E-16
       9.62E+15,       1.00E+00,       3.15E-01,       6.38E-12,       1.29E-16
       3.28E+16,       1.00E+00,       3.46E-01,       2.39E-11,       1.11E-16
       1.12E+17,       1.00E+00,       3.00E-01,       8.95E-11,       3.59E-16
       3.84E+17,       1.00E+00,       3.09E-01,       3.34E-10,       1.91E-15
       1.32E+18,       1.00E+00,       3.59E-01,       1.25E-09,       5.46E-15
       4.54E+18,       1.00E+00,       3.17E-01,       4.65E-09,       2.22E-14
       1.56E+19,       1.00E+00,       3.06E-01,       1.73E-08,       4.81E-14
       5.41E+19,       1.00E+00,       3.22E-01,       6.45E-08,       5.87E-11
       1.87E+20,       1.00E+00,       2.38E-01,       2.40E-07,       6.05E-11
       6.50E+20,       1.00E+00,       2.82E-01,       8.93E-07,       6.21E-11
       2.26E+21,       1.00E+00,       2.56E-01,       3.32E-06,       7.00E-11
       7.87E+21,       1.00E+00,       2.83E-01,       1.23E-05,       5.23E-11
       2.75E+22,       1.00E+00,       2.51E-01,       4.58E-05,       5.80E-11
       9.59E+22,       1.00E+00,       2.49E-01,       1.70E-04,       7.16E-10
       3.35E+23,       1.00E+00,       2.41E-01,       6.30E-04,       1.79E-08
       1.18E+24,       1.00E+00,       2.35E-01,       2.34E-03,       9.07E-07
       4.12E+24,       1.00E+00,       1.69E-01,       8.65E-03,       1.76E-08
       1.45E+25,       1.00E+00,       6.40E-02,       3.21E-02,       6.58E-06
       5.09E+25,       1.00E+00,       5.15E-02,       1.19E-01,       5.35E-02
       1.79E+26,       1.00E+00,       2.30E-01,       4.40E-01,       3.27E-01
       6.30E+26,       1.00E+00,       5.23E-01,       1.00E+00,       3.30E-01
