cond, stan_err_bound, stan_err, comp_err_bound, comp_err
       2.00E+00,       1.26E-15,       1.11E-16,       1.11E-16,       1.11E-16
       2.83E+04,       3.55E-11,       1.03E-13,       1.11E-16,       1.11E-16
       1.15E+06,       2.17E-09,       1.13E-11,       1.11E-16,       1.11E-16
       1.14E+07,       2.86E-08,       2.21E-10,       1.11E-16,       1.11E-16
       6.55E+07,       2.06E-07,       2.20E-10,       1.11E-16,       1.11E-16
       2.93E+08,       1.11E-06,       3.80E-09,       1.11E-16,       1.11E-16
       1.15E+09,       5.07E-06,       2.12E-08,       1.11E-16,       1.11E-16
       4.22E+09,       2.12E-05,       1.02E-07,       1.11E-16,       1.11E-16
       1.48E+10,       8.36E-05,       4.30E-07,       1.11E-16,       1.11E-16
       5.08E+10,       3.19E-04,       4.39E-07,       1.13E-16,       1.11E-16
       1.72E+11,       1.19E-03,       2.64E-06,       1.19E-16,       1.11E-16
       5.78E+11,       4.36E-03,       3.85E-06,       1.44E-16,       1.11E-16
       1.94E+12,       1.58E-02,       3.34E-05,       2.40E-16,       1.11E-16
       6.50E+12,       5.72E-02,       4.53E-05,       6.14E-16,       1.11E-16
       2.18E+13,       2.06E-01,       2.86E-04,       2.05E-15,       1.11E-16
       7.34E+13,       7.37E-01,       1.09E-03,       7.52E-15,       1.11E-16
       2.47E+14,       1.00E+00,       5.11E-03,       2.83E-14,       1.11E-16
       8.36E+14,       1.00E+00,       5.57E-01,       1.07E-13,       1.11E-16
       2.83E+15,       1.00E+00,       6.23E-02,       4.03E-13,       1.11E-16
       9.62E+15,       1.00E+00,       3.47E-01,       1.52E-12,       1.11E-16
       3.28E+16,       1.00E+00,       3.87E-01,       5.70E-12,       1.28E-16
       1.12E+17,       1.00E+00,       3.24E-01,       2.14E-11,       1.80E-16
       3.84E+17,       1.00E+00,       3.84E-01,       8.01E-11,       5.81E-16
       1.32E+18,       1.00E+00,       4.02E-01,       2.99E-10,       6.05E-15
       4.54E+18,       1.00E+00,       3.50E-01,       1.12E-09,       6.15E-15
       1.56E+19,       1.00E+00,       3.37E-01,       4.17E-09,       1.74E-14
       5.41E+19,       1.00E+00,       3.15E-01,       1.56E-08,       3.71E-13
       1.87E+20,       1.00E+00,       3.25E-01,       5.79E-08,       1.20E-12
       6.50E+20,       1.00E+00,       2.92E-01,       2.16E-07,       1.24E-12
       2.26E+21,       1.00E+00,       2.67E-01,       8.02E-07,       3.99E-12
       7.87E+21,       1.00E+00,       2.68E-01,       2.98E-06,       2.74E-11
       2.75E+22,       1.00E+00,       2.77E-01,       1.11E-05,       3.94E-11
       9.59E+22,       1.00E+00,       2.78E-01,       4.12E-05,       1.94E-10
       3.35E+23,       1.00E+00,       2.41E-01,       1.53E-04,       4.81E-10
       1.18E+24,       1.00E+00,       2.52E-01,       5.68E-04,       1.89E-09
       4.12E+24,       1.00E+00,       2.28E-01,       2.10E-03,       3.14E-08
       1.45E+25,       1.00E+00,       2.28E-01,       7.81E-03,       4.81E-08
       5.09E+25,       1.00E+00,       2.08E-01,       2.90E-02,       1.14E-03
       1.79E+26,       1.00E+00,       1.42E-01,       1.07E-01,       6.39E-02
       6.30E+26,       1.00E+00,       1.17E-01,       3.98E-01,       3.18E-01
