cond, stan_err_bound, stan_err, comp_err_bound, comp_err
       2.00E+00,       3.77E-15,       1.11E-16,       1.11E-16,       1.11E-16
       2.83E+04,       8.88E-11,       9.45E-13,       1.11E-16,       1.57E-16
       1.15E+06,       5.05E-09,       5.39E-11,       1.11E-16,       1.75E-16
       1.14E+07,       6.43E-08,       1.19E-10,       1.11E-16,       1.11E-16
       6.55E+07,       4.53E-07,       1.18E-09,       1.11E-16,       1.11E-16
       2.93E+08,       2.40E-06,       4.05E-09,       1.11E-16,       1.11E-16
       1.15E+09,       1.09E-05,       1.51E-08,       1.11E-16,       1.11E-16
       4.22E+09,       4.50E-05,       9.14E-08,       1.12E-16,       1.11E-16
       1.48E+10,       1.77E-04,       3.44E-07,       1.13E-16,       1.11E-16
       5.08E+10,       6.69E-04,       1.56E-06,       1.20E-16,       1.45E-16
       1.72E+11,       2.48E-03,       3.13E-06,       1.47E-16,       1.11E-16
       5.78E+11,       9.08E-03,       2.49E-06,       2.54E-16,       1.41E-16
       1.94E+12,       3.29E-02,       2.79E-05,       6.69E-16,       1.11E-16
       6.50E+12,       1.18E-01,       1.09E-04,       2.27E-15,       1.11E-16
       2.18E+13,       4.25E-01,       4.34E-04,       8.38E-15,       1.11E-16
       7.34E+13,       1.00E+00,       3.08E-04,       3.16E-14,       1.11E-16
       2.47E+14,       1.00E+00,       3.63E-03,       1.20E-13,       1.11E-16
       8.36E+14,       1.00E+00,       3.77E-03,       4.51E-13,       1.32E-16
       2.83E+15,       1.00E+00,       2.62E-01,       1.70E-12,       1.30E-16
       9.62E+15,       1.00E+00,       3.36E-01,       6.38E-12,       1.11E-16
       3.28E+16,       1.00E+00,       2.77E-01,       2.39E-11,       2.56E-16
       1.12E+17,       1.00E+00,       4.29E-01,       8.95E-11,       2.54E-16
       3.84E+17,       1.00E+00,       3.24E-01,       3.34E-10,       8.92E-16
       1.32E+18,       1.00E+00,       3.37E-01,       1.25E-09,       8.55E-13
       4.54E+18,       1.00E+00,       2.39E-01,       4.65E-09,       8.92E-13
       1.56E+19,       1.00E+00,       3.64E-01,       1.73E-08,       9.15E-13
       5.41E+19,       1.00E+00,       2.83E-01,       6.45E-08,       1.09E-12
       1.87E+20,       1.00E+00,       2.81E-01,       2.40E-07,       4.45E-13
       6.50E+20,       1.00E+00,       2.19E-01,       8.93E-07,       3.87E-13
       2.26E+21,       1.00E+00,       2.48E-01,       3.32E-06,       1.90E-11
       7.87E+21,       1.00E+00,       2.48E-01,       1.23E-05,       5.98E-11
       2.75E+22,       1.00E+00,       2.88E-01,       4.58E-05,       8.26E-11
       9.59E+22,       1.00E+00,       2.31E-01,       1.70E-04,       1.24E-10
       3.35E+23,       1.00E+00,       2.41E-01,       6.30E-04,       7.66E-10
       1.18E+24,       1.00E+00,       2.43E-01,       2.34E-03,       3.44E-07
       4.12E+24,       1.00E+00,       2.23E-01,       8.65E-03,       2.38E-07
       1.45E+25,       1.00E+00,       2.02E-01,       3.21E-02,       2.07E-05
       5.09E+25,       1.00E+00,       1.73E-01,       1.19E-01,       1.57E-02
       1.79E+26,       1.00E+00,       4.70E-02,       4.40E-01,       1.77E-01
       6.30E+26,       1.00E+00,       3.85E-01,       1.00E+00,       4.58E-01
