cond, stan_err_bound, stan_err, comp_err_bound, comp_err
       2.00E+00,       4.44E-16,       1.11E-16,       1.11E-16,       1.11E-16
       2.00E+04,       8.88E-12,       1.37E-13,       1.11E-16,       2.22E-16
       5.75E+05,       3.83E-10,       1.71E-12,       1.11E-16,       1.11E-16
       4.04E+06,       3.59E-09,       6.66E-11,       1.11E-16,       2.20E-16
       1.67E+07,       1.85E-08,       2.12E-10,       1.11E-16,       1.11E-16
       5.43E+07,       7.23E-08,       5.37E-10,       1.11E-16,       1.11E-16
       1.57E+08,       2.44E-07,       1.86E-09,       1.11E-16,       1.11E-16
       4.30E+08,       7.63E-07,       3.03E-09,       1.11E-16,       2.02E-16
       1.14E+09,       2.28E-06,       1.41E-08,       1.11E-16,       1.97E-16
       3.00E+09,       6.67E-06,       5.73E-08,       1.11E-16,       1.11E-16
       7.87E+09,       1.92E-05,       9.50E-08,       1.11E-16,       1.87E-16
       2.07E+10,       5.50E-05,       2.63E-07,       1.11E-16,       1.11E-16
       5.44E+10,       1.57E-04,       4.45E-07,       1.11E-16,       1.11E-16
       1.44E+11,       4.48E-04,       7.51E-08,       1.12E-16,       1.11E-16
       3.84E+11,       1.28E-03,       2.15E-06,       1.15E-16,       1.11E-16
       1.03E+12,       3.66E-03,       6.69E-06,       1.24E-16,       1.69E-16
       2.78E+12,       1.05E-02,       1.91E-05,       1.51E-16,       1.11E-16
       7.54E+12,       3.01E-02,       8.02E-05,       2.31E-16,       1.11E-16
       2.06E+13,       8.67E-02,       2.01E-04,       4.77E-16,       1.11E-16
       5.63E+13,       2.50E-01,       2.76E-04,       1.22E-15,       1.11E-16
       1.55E+14,       7.23E-01,       1.28E-03,       3.48E-15,       1.11E-16
       4.29E+14,       1.00E+00,       3.25E-03,       1.03E-14,       1.11E-16
       1.19E+15,       1.00E+00,       1.50E-02,       3.12E-14,       1.11E-16
       3.32E+15,       1.00E+00,       4.24E-02,       9.43E-14,       1.11E-16
       9.28E+15,       1.00E+00,       1.19E-01,       2.86E-13,       1.50E-16
       2.60E+16,       1.00E+00,       1.00E+00,       8.68E-13,       1.11E-16
       7.32E+16,       1.00E+00,       1.31E-01,       2.63E-12,       2.95E-16
       2.07E+17,       1.00E+00,       2.23E-01,       7.99E-12,       4.39E-16
       5.84E+17,       1.00E+00,       1.00E+00,       2.42E-11,       4.35E-16
       1.66E+18,       1.00E+00,       2.17E-01,       7.35E-11,       4.32E-16
       4.71E+18,       1.00E+00,       2.27E-01,       2.23E-10,       1.30E-12
       1.34E+19,       1.00E+00,       2.10E-01,       6.77E-10,       1.32E-12
       3.83E+19,       1.00E+00,       4.78E-01,       2.05E-09,       1.43E-12
       1.09E+20,       1.00E+00,       1.88E-01,       6.23E-09,       1.54E-12
       3.13E+20,       1.00E+00,       1.86E-01,       1.89E-08,       1.04E-12
       8.98E+20,       1.00E+00,       2.28E-01,       5.74E-08,       1.63E-12
       2.58E+21,       1.00E+00,       2.19E-01,       1.74E-07,       4.45E-12
       7.42E+21,       1.00E+00,       1.67E-01,       5.28E-07,       2.45E-12
       2.14E+22,       1.00E+00,       3.81E-01,       1.60E-06,       8.75E-12
       6.17E+22,       1.00E+00,       3.46E-01,       4.86E-06,       6.20E-11
