Poly No., FPML, FPML-Quad, FPML-Comp
         1,        3.04E-10,        1.11E-16,        1.27E-16
         2,        3.30E-05,        1.11E-16,        1.37E-16
         3,        8.71E-02,        4.76E-05,        4.76E-05
         4,        6.33E-11,        4.79E-13,        4.79E-13
         5,        4.44E-09,        9.51E-11,        9.51E-11
         6,        2.09E-05,        3.88E-07,        3.88E-07
         7,        1.61E-01,        1.50E-04,        1.50E-04
         8,        4.80E-14,        4.00E-15,        4.00E-15
         9,        6.31E-02,        2.82E-02,        2.82E-02
        10,        1.60E-09,        7.08E-16,        7.08E-16
        11,        8.28E-15,        8.01E-16,        8.01E-16
        12,        1.72E-07,        6.59E-08,        6.59E-08
        13,        1.37E-04,        5.19E-08,        5.19E-08
        14,        1.70E+00,        4.14E-11,        9.97E-09
        15,        1.65E-16,        1.11E-16,        1.11E-16
        16,        1.97E-16,        1.11E-16,        1.11E-16
        17,        3.14E-16,        1.11E-16,        1.11E-16
        18,        2.48E-16,        1.11E-16,        1.25E-16
        19,        4.24E-16,        2.12E-16,        2.12E-16
        20,        4.56E-15,        2.52E-16,        2.52E-16
        21,        2.86E-05,        7.54E-06,        7.54E-06
        22,        5.00E-01,        4.38E-04,        4.38E-04
        23,        1.49E-04,        2.19E-06,        2.19E-06
        24,        2.82E-05,        5.67E-06,        5.67E-06
        25,        2.82E-05,        5.67E-06,        5.67E-06
        26,        1.93E-05,        1.21E-06,        1.21E-06
        27,        2.35E-03,        4.78E-07,        1.31E-06
        28,        2.54E-15,        1.11E-16,        1.59E-16
        29,        1.11E-16,        1.11E-16,        1.11E-16
        30,        9.69E-16,        1.11E-16,        1.11E-16
        31,        1.38E-15,        1.11E-16,        1.11E-16
        32,        7.66E-15,        1.11E-16,        1.11E-16
        33,        8.95E-14,        1.11E-16,        1.11E-16
        34,        1.07E-14,        1.11E-16,        1.11E-16
        35,        1.86E-15,        8.88E-16,        8.88E-16
